playerID,yearID,teamID,inseason,G,W,L
schmegu99,1895,WAS,1,133,43,85
hanlone01,1896,BLN,1,132,90,39
foutzda01,1896,BRO,1,133,58,73
seleefr99,1896,BSN,1,132,74,57
ansonca01,1896,CHN,1,132,71,57
ewingbu01,1896,CIN,1,128,77,50
tebeapa01,1896,CL4,1,135,80,48
mcclojo99,1896,LS3,1,19,2,17
mcgunbi01,1896,LS3,2,115,36,76
irwinar01,1896,NY1,1,90,36,53
joycebi01,1896,NY1,2,43,28,14
nashbi01,1896,PHI,1,130,62,68
mackco01,1896,PIT,1,131,66,63
diddlha99,1896,SLN,1,17,7,10
lathaar01,1896,SLN,2,3,0,3
vondech99,1896,SLN,3,2,0,2
connoro01,1896,SLN,4,46,8,37
dowdto01,1896,SLN,5,63,25,38
schmegu99,1896,WAS,1,133,58,73
hanlone01,1897,BLN,1,136,90,40
barnibi01,1897,BRO,1,136,61,71
seleefr99,1897,BSN,1,135,93,39
ansonca01,1897,CHN,1,138,59,73
ewingbu01,1897,CIN,1,134,76,56
tebeapa01,1897,CL4,1,132,69,62
rogerji01,1897,LS3,1,44,17,24
clarkfr01,1897,LS3,2,92,35,54
joycebi01,1897,NY1,1,138,83,48
stallge01,1897,PHI,1,134,55,77
donovpa01,1897,PIT,1,135,60,71
dowdto01,1897,SLN,1,29,6,22
nicolhu01,1897,SLN,2,40,8,32
hallmbi01,1897,SLN,3,50,13,36
vondech99,1897,SLN,4,14,2,12
schmegu99,1897,WAS,1,36,9,25
brownto01,1897,WAS,2,99,52,46
hanlone01,1898,BLN,1,154,96,53
barnibi01,1898,BRO,1,35,15,20
griffmi01,1898,BRO,2,4,1,3
ebbetch99,1898,BRO,3,110,38,68
seleefr99,1898,BSN,1,152,102,47
burnsto01,1898,CHN,1,152,85,65
ewingbu01,1898,CIN,1,157,92,60
tebeapa01,1898,CL4,1,156,81,68
clarkfr01,1898,LS3,1,154,70,81
joycebi01,1898,NY1,1,43,22,21
ansonca01,1898,NY1,2,22,9,13
joycebi01,1898,NY1,3,92,46,39
stallge01,1898,PHI,1,46,19,27
shettbi99,1898,PHI,2,104,59,44
watkibi01,1898,PIT,1,151,72,76
hurstti99,1898,SLN,1,154,39,111
brownto01,1898,WAS,1,38,12,26
doyleja01,1898,WAS,2,17,8,9
mcguide01,1898,WAS,3,70,21,47
irwinar01,1898,WAS,4,30,10,19
mcgrajo01,1899,BLN,1,152,86,62
hanlone01,1899,BRO,1,150,101,47
seleefr99,1899,BSN,1,153,95,57
burnsto01,1899,CHN,1,152,75,73
ewingbu01,1899,CIN,1,157,83,67
crossla01,1899,CL4,1,38,8,30
quinnjo02,1899,CL4,2,116,12,104
clarkfr01,1899,LS3,1,156,75,77
dayjo99,1899,NY1,1,66,29,35
hoeyfr99,1899,NY1,2,87,31,55
shettbi99,1899,PHI,1,154,94,58
watkibi01,1899,PIT,1,24,7,15
donovpa01,1899,PIT,2,131,69,58
tebeapa01,1899,SLN,1,155,84,67
irwinar01,1899,WAS,1,155,54,98
hanlone01,1900,BRO,1,142,82,54
seleefr99,1900,BSN,1,142,66,72
loftuto01,1900,CHN,1,146,65,75
allenbo01,1900,CIN,1,144,62,77
ewingbu01,1900,NY1,1,63,21,41
davisge01,1900,NY1,2,78,39,37
shettbi99,1900,PHI,1,141,75,63
clarkfr01,1900,PIT,1,140,79,60
tebeapa01,1900,SLN,1,92,42,50
heilblo99,1900,SLN,2,50,23,25
mcgrajo01,1901,BLA,1,135,68,65
colliji01,1901,BOS,1,138,79,57
griffcl01,1901,CHA,1,137,83,53
mcaleji01,1901,CLE,1,138,54,82
stallge01,1901,DET,1,136,74,61
duffyhu01,1901,MLA,1,139,48,89
mackco01,1901,PHA,1,137,74,62
manniji01,1901,WS1,1,138,61,73
hanlone01,1901,BRO,1,137,79,57
seleefr99,1901,BSN,1,140,69,69
loftuto01,1901,CHN,1,140,53,86
mcphebi01,1901,CIN,1,142,52,87
davisge01,1901,NY1,1,141,52,85
shettbi99,1901,PHI,1,140,83,57
clarkfr01,1901,PIT,1,140,90,49
donovpa01,1901,SLN,1,142,76,64
mcgrajo01,1902,BLA,1,58,26,31
robinwi01,1902,BLA,2,83,24,57
colliji01,1902,BOS,1,138,77,60
griffcl01,1902,CHA,1,138,74,60
armoubi99,1902,CLE,1,137,69,67
dwyerfr01,1902,DET,1,137,52,83
mackco01,1902,PHA,1,137,83,53
mcaleji01,1902,SLA,1,140,78,58
loftuto01,1902,WS1,1,138,61,75
hanlone01,1902,BRO,1,141,75,63
buckeal99,1902,BSN,1,142,73,64
seleefr99,1902,CHN,1,143,68,69
mcphebi01,1902,CIN,1,65,27,37
bancrfr99,1902,CIN,2,16,9,7
kellejo01,1902,CIN,3,60,34,26
fogelho99,1902,NY1,1,44,18,23
smithhe01,1902,NY1,2,32,5,27
mcgrajo01,1902,NY1,3,65,25,38
shettbi99,1902,PHI,1,138,56,81
clarkfr01,1902,PIT,1,142,103,36
donovpa01,1902,SLN,1,140,56,78
colliji01,1903,BOS,1,141,91,47
callani01,1903,CHA,1,138,60,77
armoubi99,1903,CLE,1,140,77,63
barroed99,1903,DET,1,137,65,71
griffcl01,1903,NYA,1,136,72,62
mackco01,1903,PHA,1,137,75,60
mcaleji01,1903,SLA,1,139,65,74
loftuto01,1903,WS1,1,140,43,94
hanlone01,1903,BRO,1,139,70,66
buckeal99,1903,BSN,1,140,58,80
seleefr99,1903,CHN,1,139,82,56
kellejo01,1903,CIN,1,141,74,65
mcgrajo01,1903,NY1,1,142,84,55
zimmech01,1903,PHI,1,139,49,86
clarkfr01,1903,PIT,1,141,91,49
donovpa01,1903,SLN,1,139,43,94
colliji01,1904,BOS,1,157,95,59
callani01,1904,CHA,1,42,23,18
jonesfi01,1904,CHA,2,114,66,47
armoubi99,1904,CLE,1,154,86,65
barroed99,1904,DET,1,84,32,46
lowebo01,1904,DET,2,78,30,44
griffcl01,1904,NYA,1,155,92,59
mackco01,1904,PHA,1,155,81,70
mcaleji01,1904,SLA,1,156,65,87
kittrma01,1904,WS1,1,18,1,16
donovpa01,1904,WS1,2,139,37,97
hanlone01,1904,BRO,1,154,56,97
buckeal99,1904,BSN,1,155,55,98
seleefr99,1904,CHN,1,156,93,60
kellejo01,1904,CIN,1,157,88,65
mcgrajo01,1904,NY1,1,158,106,47
duffyhu01,1904,PHI,1,155,52,100
clarkfr01,1904,PIT,1,156,87,66
nichoki01,1904,SLN,1,155,75,79
colliji01,1905,BOS,1,153,78,74
jonesfi01,1905,CHA,1,158,92,60
lajoina01,1905,CLE,1,58,37,21
bradlbi01,1905,CLE,2,41,20,21
lajoina01,1905,CLE,3,56,19,36
armoubi99,1905,DET,1,154,79,74
griffcl01,1905,NYA,1,152,71,78
mackco01,1905,PHA,1,152,92,56
mcaleji01,1905,SLA,1,156,54,99
stahlja01,1905,WS1,1,154,64,87
hanlone01,1905,BRO,1,155,48,104
tennefr02,1905,BSN,1,156,51,103
seleefr99,1905,CHN,1,65,37,28
chancfr01,1905,CHN,2,90,55,33
kellejo01,1905,CIN,1,155,79,74
mcgrajo01,1905,NY1,1,155,105,48
duffyhu01,1905,PHI,1,155,83,69
clarkfr01,1905,PIT,1,155,96,57
nichoki01,1905,SLN,1,14,5,9
burkeji01,1905,SLN,2,90,34,56
robisst99,1905,SLN,3,50,19,31
colliji01,1906,BOS,1,115,35,79
stahlch01,1906,BOS,2,40,14,26
jonesfi01,1906,CHA,1,154,93,58
lajoina01,1906,CLE,1,157,89,64
armoubi99,1906,DET,1,151,71,78
griffcl01,1906,NYA,1,155,90,61
mackco01,1906,PHA,1,149,78,67
mcaleji01,1906,SLA,1,154,76,73
stahlja01,1906,WS1,1,151,55,95
donovpa01,1906,BRO,1,153,66,86
tennefr02,1906,BSN,1,152,49,102
